B72220S0600K101,10.0,1.6,21.5,4.4,25.5,25.0,1.0,S20K60,60,85,6500,33.0,1.00
B72205S0750K101,5.0,1.3,7.0,3.4,8.5,25.0,0.6,S05K75,75,100,400,2.5,0.10
B72207S0750K101,5.0,1.3,9.0,3.6,11.0,25.0,0.6,S07K75,75,100,1200,5.9,0.25
B72210S0750K101,7.5,1.5,12.0,4.2,14.5,25.0,0.8,S10K75,75,100,2500,12.0,0.40
B72214S0750K101,7.5,1.5,15.5,4.2,18.5,25.0,0.8,S14K75,75,100,4500,20.0,0.60
B72220S0750K101,10.0,1.6,21.5,4.6,25.5,25.0,1.0,S20K75,75,100,6500,40.0,1.00
B72205S0950K101,5.0,1.3,7.0,3.4,8.5,25.0,0.6,S05K95,95,125,400,3.4,0.10
B72207S0950K101,5.0,1.3,9.0,3.4,11.0,25.0,0.6,S07K95,95,125,1200,7.6,0.25
B72210S0950K101,7.5,1.5,12.0,4.0,14.5,25.0,0.8,S10K95,95,125,2500,15.0,0.40
B72214S0950K101,7.5,1.5,15.5,4.0,18.5,25.0,0.8,S14K95,95,125,4500,25.0,0.60
B72220S0950K101,10.0,1.6,21.5,4.5,25.5,25.0,1.0,S20K95,95,125,6500,50.0,1.00
B72205S0111K101,5.0,1.5,7.0,3.6,8.5,25.0,0.6,S05K115,115,150,400,3.6,0.10
B72207S0111K101,5.0,1.5,9.0,3.6,11.0,25.0,0.6,S07K115,115,150,1200,8.4,0.25
B72210S0111K101,7.5,1.6,12.0,4.2,14.5,25.0,0.8,S10K115,115,150,2500,18.0,0.40
B72214S0111K101,7.5,1.7,15.5,4.2,18.5,25.0,0.8,S14K115,115,150,4500,30.0,0.60
B72220S0111K101,10.0,1.8,21.5,4.6,25.5,25.0,1.0,S20K115,115,150,6500,60.0,1.00
B72205S0131K101,5.0,1.6,7.0,3.6,8.5,25.0,0.6,S05K130,130,170,400,4.2,0.10
B72207S0131K101,5.0,1.6,9.0,3.6,11.0,25.0,0.6,S07K130,130,170,1200,9.5,0.25
B72210S0131K101,7.5,1.8,12.0,4.2,14.5,25.0,0.8,S10K130,130,170,2500,19.0,0.40
B72214S0131K101,7.5,1.9,15.5,4.2,18.5,25.0,0.8,S14K130,130,170,4500,34.0,0.60
B72220S0131K101,10.0,2.0,21.5,4.7,25.5,25.0,1.0,S20K130,130,170,8000,74.0,1.00
B72205S0141K101,5.0,1.7,7.0,3.7,8.5,25.0,0.6,S05K140,140,180,400,4.5,0.10
B72207S0141K101,5.0,1.7,9.0,3.7,11.0,25.0,0.6,S07K140,140,180,1200,10.0,0.25
B72210S0141K101,7.5,1.9,12.0,4.3,14.5,25.0,0.8,S10K140,140,180,2500,22.0,0.40
B72214S0141K101,7.5,2.0,15.5,4.3,18.5,25.0,0.8,S14K140,140,180,4500,36.0,0.60
B72220S0141K101,10.0,2.1,21.5,4.8,25.5,25.0,1.0,S20K140,140,180,8000,78.0,1.00
B72205S0151K101,5.0,1.8,7.0,3.8,8.5,25.0,0.6,S05K150,150,200,400,4.9,0.10
B72207S0151K101,5.0,1.8,9.0,3.8,11.0,25.0,0.6,S07K150,150,200,1200,11.0,0.25
B72210S0151K101,7.5,2.0,12.0,4.4,14.5,25.0,0.8,S10K150,150,200,2500,24.0,0.40
B72214S0151K101,7.5,2.1,15.5,4.4,18.5,25.0,0.8,S14K150,150,200,4500,40.0,0.60
B72220S0151K101,10.0,2.2,21.5,4.9,25.5,25.0,1.0,S20K150,150,200,8000,85.0,1.00
B72205S0171K101,5.0,2.0,7.0,3.9,8.5,25.0,0.6,S05K175,175,225,400,5.6,0.10
B72207S0171K101,5.0,2.0,9.0,4.0,11.0,25.0,0.6,S07K175,175,225,1200,13.0,0.25
B72210S0171K101,7.5,2.2,12.0,4.6,14.5,25.0,0.8,S10K175,175,225,2500,28.0,0.40
B72214S0171K101,7.5,2.2,15.5,4.6,18.5,25.0,0.8,S14K175,175,225,4500,46.0,0.60
B72220S0171K101,10.0,2.3,21.5,5.0,25.5,25.0,1.0,S20K175,175,225,8000,98.0,1.00
